player_id,Year,Medal
6173,2002,Gold
6174,2002,
6175,2006,
6176,2006,
6177,2006,
6178,2010,Gold
6179,2010,Gold
6180,2014,
6181,2014,
6182,2006,
6183,2006,
6184,2006,
6185,2014,
6186,2014,
6187,2014,
6203,2010,
6204,2014,
6205,2014,
6213,1998,
6214,2002,Silver
6264,1976,
6265,1976,
6266,1976,Gold
6292,1992,
6293,1992,
6294,1992,
6295,1992,
6321,1964,
6394,2010,
6405,1998,Gold
6409,1964,
6417,2002,
6418,2002,
6419,2006,Bronze
6420,2006,Gold
6421,2006,Gold
6422,2006,Gold
6423,2014,Gold
6424,2014,Gold
6425,2014,Bronze
6426,2014,Gold
6427,2006,
6428,2006,
6433,1998,Silver
6434,1998,
6435,1998,Bronze
6436,2002,Bronze
6465,1964,
6466,1964,Gold
6477,2010,
6478,2002,
6479,2006,
6480,2006,
6481,2006,
6488,2006,
6500,1988,
6501,1988,
6502,1992,
6503,1992,
6504,1992,
6505,1992,
6506,1992,
6507,1994,
6508,1994,
6509,1994,
6510,1998,
6536,1960,
6537,1960,
6538,1960,
6539,1964,
6540,1964,
6562,1936,
6573,1998,
6574,2002,Silver
6575,2002,
6576,1968,
6577,1972,
6580,1952,
6583,1988,
6591,1928,Gold
6623,1984,
6624,1988,
6625,1994,
6636,1932,
6641,1984,
6648,1984,
6650,1968,
6651,1972,
6673,1948,
6674,1952,Gold
6675,1952,Gold
6676,1952,Gold
6677,1956,
6678,1956,
6692,2010,
6707,1994,
6716,1988,
6717,1992,
6718,1994,
6729,2002,
6730,2002,
6731,2006,
6732,2006,
6735,1936,Bronze
6745,1976,
6746,1976,
6747,1980,
6748,1980,Bronze
6767,1960,
6768,1960,
6784,2002,
6806,1980,
6812,2014,Gold
6813,1998,
6814,2002,
6815,2006,
6816,2006,
6817,2010,Gold
6818,2014,
6819,2014,
6838,1976,
6839,1980,
6861,1992,
6880,1932,Silver
6881,1960,
6882,1960,
6883,1960,
6884,1980,
6885,1984,
6887,1956,Silver
6893,1924,Bronze
6918,1948,
6919,1952,Bronze
6923,1960,
6924,1960,
6925,1964,Silver
6933,2002,Bronze
6945,1968,
6946,1968,Silver
6952,2006,Silver
6956,2014,
6957,2014,
6960,2010,
6961,2014,
6981,1998,
6982,2002,Bronze
6983,2006,Silver
6984,2010,
6991,1928,
6992,1928,
6993,1928,
6994,1928,
7022,1988,
7023,1988,
7024,1992,
7025,1992,
7026,1994,
7027,1994,
7036,1984,
7037,1984,
7038,1988,
7039,1988,
7040,1988,
7041,1992,
7042,1992,Bronze
7043,1994,
7044,1994,
7053,2002,
7054,2002,
7055,2002,
7056,2002,
7057,2006,
7058,2006,
7059,2006,
7060,2006,Gold
7086,1998,
7088,1988,Bronze
7098,1980,
7099,1980,
7102,1992,
7104,1988,Bronze
7105,1992,
7131,1952,Bronze
7132,1936,
7133,1948,
7135,1980,Bronze
7138,1956,
7139,1956,
7143,1928,
7144,1928,Bronze
7151,1952,Bronze
7152,1956,
7153,1952,Bronze
7154,1956,
7166,1980,
7167,1980,Gold
7168,1984,
7169,1984,
7170,1984,
7171,1984,
7181,1998,
7188,2006,
7189,2010,
7227,1994,
7228,1998,
7263,1924,Bronze
7264,1924,
7269,2002,
7284,1968,
7285,1968,
7297,1994,
7298,1998,
7299,1998,
7300,1998,Bronze
7301,2002,
7302,2002,
7303,2002,
7304,2002,Silver
7305,2006,
7306,2006,
7313,1992,
7320,2010,
7322,1964,
7336,2006,
7337,2006,
7338,2006,
7345,1928,Bronze
7346,1928,Bronze
7358,1998,Gold
7362,1998,Silver
7363,1998,
7364,2002,
7365,2002,
7366,2002,
7367,2002,Gold
7368,2006,Bronze
7369,2006,
7370,2006,
7371,2006,
7372,2006,
7376,1956,
7377,1956,
7378,2006,
7379,2006,
7380,1980,
7397,1972,
7408,1964,
7409,1968,
7410,1968,
7417,1998,
7418,2002,
7434,2014,Silver
7464,1992,
7465,1992,
7466,1992,
7468,1976,
7469,1976,
7470,1976,
7471,1980,
7472,1980,
