player_id,City,Event,Sport
151558,Innsbruck,Alpine Skiing Men's Downhill,Alpine Skiing
151559,Innsbruck,Alpine Skiing Men's Giant Slalom,Alpine Skiing
151560,Innsbruck,Alpine Skiing Men's Slalom,Alpine Skiing
151575,Albertville,Biathlon Men's 10 kilometres Sprint,Biathlon
151576,Albertville,Biathlon Men's 20 kilometres,Biathlon
151577,Albertville,Biathlon Men's 4 x 7.5 kilometres Relay,Biathlon
151578,Lillehammer,Biathlon Men's 20 kilometres,Biathlon
151579,Lillehammer,Biathlon Men's 4 x 7.5 kilometres Relay,Biathlon
151580,Nagano,Biathlon Men's 10 kilometres Sprint,Biathlon
151581,Nagano,Biathlon Men's 20 kilometres,Biathlon
151582,Nagano,Biathlon Men's 4 x 7.5 kilometres Relay,Biathlon
151583,Salt Lake City,Biathlon Men's 20 kilometres,Biathlon
151584,Salt Lake City,Biathlon Men's 4 x 7.5 kilometres Relay,Biathlon
151638,Grenoble,"Speed Skating Men's 5,000 metres",Speed Skating
151639,Grenoble,"Speed Skating Men's 10,000 metres",Speed Skating
151672,Vancouver,Bobsleigh Men's Two,Bobsleigh
151673,Vancouver,Bobsleigh Men's Four,Bobsleigh
151685,Innsbruck,Figure Skating Women's Singles,Figure Skating
151686,Grenoble,Figure Skating Women's Singles,Figure Skating
151691,Squaw Valley,Ice Hockey Men's Ice Hockey,Ice Hockey
151700,Torino,Nordic Combined Men's Team,Nordic Combined
151701,Torino,Nordic Combined Men's Individual,Nordic Combined
151702,Torino,Nordic Combined Men's Sprint,Nordic Combined
151703,Vancouver,"Nordic Combined Men's Normal Hill / 10 km, Individual",Nordic Combined
151704,Vancouver,"Nordic Combined Men's Large Hill / 10 km, Individual",Nordic Combined
151706,Lake Placid,Luge Mixed (Men)'s Doubles,Luge
151707,Sarajevo,Luge Men's Singles,Luge
151708,Sarajevo,Luge Mixed (Men)'s Doubles,Luge
151709,Calgary,Luge Men's Singles,Luge
151714,Albertville,Alpine Skiing Men's Downhill,Alpine Skiing
151715,Albertville,Alpine Skiing Men's Super G,Alpine Skiing
151716,Albertville,Alpine Skiing Men's Combined,Alpine Skiing
151724,Albertville,Alpine Skiing Women's Super G,Alpine Skiing
151725,Albertville,Alpine Skiing Women's Slalom,Alpine Skiing
151726,Albertville,Alpine Skiing Women's Combined,Alpine Skiing
151727,Lillehammer,Alpine Skiing Women's Downhill,Alpine Skiing
151728,Lillehammer,Alpine Skiing Women's Super G,Alpine Skiing
151729,Lillehammer,Alpine Skiing Women's Slalom,Alpine Skiing
151730,Lillehammer,Alpine Skiing Women's Combined,Alpine Skiing
151731,Nagano,Alpine Skiing Women's Downhill,Alpine Skiing
151732,Nagano,Alpine Skiing Women's Super G,Alpine Skiing
151733,Nagano,Alpine Skiing Women's Combined,Alpine Skiing
151743,Torino,Snowboarding Women's Halfpipe,Snowboarding
151744,Sarajevo,Ice Hockey Men's Ice Hockey,Ice Hockey
151755,Sankt Moritz,Bobsleigh Men's Four/Five,Bobsleigh
151759,Squaw Valley,Figure Skating Mixed Pairs,Figure Skating
151764,Squaw Valley,Speed Skating Men's 500 metres,Speed Skating
151765,Squaw Valley,"Speed Skating Men's 1,500 metres",Speed Skating
151766,Squaw Valley,"Speed Skating Men's 5,000 metres",Speed Skating
151789,Grenoble,Ice Hockey Men's Ice Hockey,Ice Hockey
151814,Squaw Valley,Cross Country Skiing Men's 30 kilometres,Cross Country Skiing
151815,Squaw Valley,Cross Country Skiing Men's 50 kilometres,Cross Country Skiing
151854,Sarajevo,Figure Skating Mixed Pairs,Figure Skating
151866,Sankt Moritz,Cross Country Skiing Men's 18 kilometres,Cross Country Skiing
151892,Oslo,Speed Skating Men's 500 metres,Speed Skating
151893,Oslo,"Speed Skating Men's 1,500 metres",Speed Skating
151916,Nagano,"Speed Skating Women's 3,000 metres",Speed Skating
151925,Calgary,Cross Country Skiing Men's 50 kilometres,Cross Country Skiing
151926,Albertville,Cross Country Skiing Men's 30 kilometres,Cross Country Skiing
151927,Albertville,Cross Country Skiing Men's 50 kilometres,Cross Country Skiing
151931,Vancouver,"Short Track Speed Skating Men's 5,000 metres Relay",Short Track Speed Skating
151932,Calgary,Cross Country Skiing Women's 10 kilometres,Cross Country Skiing
151933,Calgary,Cross Country Skiing Women's 20 kilometres,Cross Country Skiing
151934,Calgary,Cross Country Skiing Women's 4 x 5 kilometres Relay,Cross Country Skiing
151959,Grenoble,Cross Country Skiing Men's 30 kilometres,Cross Country Skiing
151960,Grenoble,Cross Country Skiing Men's 50 kilometres,Cross Country Skiing
151967,Innsbruck,Ice Hockey Men's Ice Hockey,Ice Hockey
152005,Innsbruck,Luge Mixed (Men)'s Doubles,Luge
152010,Sarajevo,Ice Hockey Men's Ice Hockey,Ice Hockey
152070,Sochi,Bobsleigh Men's Four,Bobsleigh
152097,Cortina d'Ampezzo,Ice Hockey Men's Ice Hockey,Ice Hockey
152107,Sankt Moritz,Alpine Skiing Men's Downhill,Alpine Skiing
152108,Sankt Moritz,Alpine Skiing Men's Slalom,Alpine Skiing
152109,Sankt Moritz,Alpine Skiing Men's Combined,Alpine Skiing
152111,Albertville,Luge Women's Singles,Luge
152138,Cortina d'Ampezzo,Cross Country Skiing Men's 15 kilometres,Cross Country Skiing
152139,Cortina d'Ampezzo,Cross Country Skiing Men's 4 x 10 kilometres Relay,Cross Country Skiing
152140,Squaw Valley,Cross Country Skiing Men's 15 kilometres,Cross Country Skiing
152141,Squaw Valley,Cross Country Skiing Men's 30 kilometres,Cross Country Skiing
152142,Squaw Valley,Cross Country Skiing Men's 4 x 10 kilometres Relay,Cross Country Skiing
152143,Nagano,"Ski Jumping Men's Normal Hill, Individual",Ski Jumping
152144,Nagano,"Ski Jumping Men's Large Hill, Individual",Ski Jumping
152145,Nagano,"Ski Jumping Men's Large Hill, Team",Ski Jumping
152146,Salt Lake City,"Ski Jumping Men's Normal Hill, Individual",Ski Jumping
152147,Salt Lake City,"Ski Jumping Men's Large Hill, Individual",Ski Jumping
152148,Salt Lake City,"Ski Jumping Men's Large Hill, Team",Ski Jumping
152149,Torino,"Ski Jumping Men's Normal Hill, Individual",Ski Jumping
152150,Torino,"Ski Jumping Men's Large Hill, Individual",Ski Jumping
152151,Torino,"Ski Jumping Men's Large Hill, Team",Ski Jumping
152153,Innsbruck,Luge Women's Singles,Luge
152157,Vancouver,Ice Hockey Women's Ice Hockey,Ice Hockey
152169,Lake Placid,Ice Hockey Men's Ice Hockey,Ice Hockey
152170,Torino,Snowboarding Men's Halfpipe,Snowboarding
152171,Vancouver,Snowboarding Men's Halfpipe,Snowboarding
152192,Sankt Moritz,Ice Hockey Men's Ice Hockey,Ice Hockey
152222,Albertville,Bobsleigh Men's Four,Bobsleigh
152232,Sochi,Snowboarding Men's Parallel Giant Slalom,Snowboarding
152233,Sochi,Snowboarding Men's Parallel Slalom,Snowboarding
152234,Garmisch-Partenkirchen,"Speed Skating Men's 1,500 metres",Speed Skating
152235,Garmisch-Partenkirchen,"Speed Skating Men's 5,000 metres",Speed Skating
152236,Garmisch-Partenkirchen,"Speed Skating Men's 10,000 metres",Speed Skating
152237,Sankt Moritz,"Speed Skating Men's 5,000 metres",Speed Skating
152240,Nagano,Alpine Skiing Women's Giant Slalom,Alpine Skiing
152241,Nagano,Alpine Skiing Women's Slalom,Alpine Skiing
152247,Innsbruck,Cross Country Skiing Men's 15 kilometres,Cross Country Skiing
152248,Innsbruck,Cross Country Skiing Men's 30 kilometres,Cross Country Skiing
152249,Innsbruck,Cross Country Skiing Men's 4 x 10 kilometres Relay,Cross Country Skiing
152250,Grenoble,Cross Country Skiing Men's 15 kilometres,Cross Country Skiing
152251,Grenoble,Cross Country Skiing Men's 4 x 10 kilometres Relay,Cross Country Skiing
152255,Nagano,Short Track Speed Skating Men's 500 metres,Short Track Speed Skating
152256,Nagano,"Short Track Speed Skating Men's 1,000 metres",Short Track Speed Skating
152257,Salt Lake City,Short Track Speed Skating Men's 500 metres,Short Track Speed Skating
152267,Innsbruck,Ice Hockey Men's Ice Hockey,Ice Hockey
152269,Vancouver,Curling Men's Curling,Curling
152302,Squaw Valley,Alpine Skiing Men's Slalom,Alpine Skiing
152303,Innsbruck,Alpine Skiing Men's Slalom,Alpine Skiing
152325,Innsbruck,Figure Skating Mixed Pairs,Figure Skating
152332,Salt Lake City,Biathlon Men's 10 kilometres Sprint,Biathlon
152333,Salt Lake City,Biathlon Men's 12.5 kilometres Pursuit,Biathlon
152334,Salt Lake City,Biathlon Men's 20 kilometres,Biathlon
152335,Torino,Biathlon Men's 10 kilometres Sprint,Biathlon
152336,Torino,Biathlon Men's 15 kilometres Mass Start,Biathlon
152337,Torino,Biathlon Men's 20 kilometres,Biathlon
152338,Torino,Biathlon Men's 4 x 7.5 kilometres Relay,Biathlon
152339,Vancouver,Biathlon Men's 10 kilometres Sprint,Biathlon
152340,Vancouver,Biathlon Men's 20 kilometres,Biathlon
152341,Vancouver,Biathlon Men's 4 x 7.5 kilometres Relay,Biathlon
152342,Torino,Biathlon Men's 10 kilometres Sprint,Biathlon
152343,Torino,Biathlon Men's 12.5 kilometres Pursuit,Biathlon
152344,Torino,Biathlon Men's 20 kilometres,Biathlon
152345,Torino,Biathlon Men's 4 x 7.5 kilometres Relay,Biathlon
152346,Vancouver,Biathlon Men's 10 kilometres Sprint,Biathlon
152347,Vancouver,Biathlon Men's 20 kilometres,Biathlon
152348,Vancouver,Biathlon Men's 4 x 7.5 kilometres Relay,Biathlon
152349,Sochi,Biathlon Men's 20 kilometres,Biathlon
152350,Sochi,Biathlon Men's 4 x 7.5 kilometres Relay,Biathlon
152354,Salt Lake City,Ice Hockey Men's Ice Hockey,Ice Hockey
152357,Vancouver,Bobsleigh Men's Four,Bobsleigh
152359,Sarajevo,Cross Country Skiing Women's 5 kilometres,Cross Country Skiing
152360,Sarajevo,Cross Country Skiing Women's 4 x 5 kilometres Relay,Cross Country Skiing
152361,Calgary,Cross Country Skiing Women's 5 kilometres,Cross Country Skiing
152362,Calgary,Cross Country Skiing Women's 10 kilometres,Cross Country Skiing
152363,Calgary,Cross Country Skiing Women's 20 kilometres,Cross Country Skiing
152364,Calgary,Cross Country Skiing Women's 4 x 5 kilometres Relay,Cross Country Skiing
152371,Sapporo,Cross Country Skiing Men's 30 kilometres,Cross Country Skiing
152378,Sochi,Freestyle Skiing Men's Moguls,Freestyle Skiing
152419,Cortina d'Ampezzo,Cross Country Skiing Men's 15 kilometres,Cross Country Skiing
152420,Cortina d'Ampezzo,Cross Country Skiing Men's 30 kilometres,Cross Country Skiing
152421,Cortina d'Ampezzo,Cross Country Skiing Men's 4 x 10 kilometres Relay,Cross Country Skiing
152422,Sarajevo,Biathlon Men's 10 kilometres Sprint,Biathlon
152423,Sarajevo,Biathlon Men's 20 kilometres,Biathlon
152424,Sarajevo,Biathlon Men's 4 x 7.5 kilometres Relay,Biathlon
152425,Calgary,Biathlon Men's 10 kilometres Sprint,Biathlon
152426,Calgary,Biathlon Men's 20 kilometres,Biathlon
152427,Calgary,Biathlon Men's 4 x 7.5 kilometres Relay,Biathlon
152428,Innsbruck,"Ski Jumping Men's Normal Hill, Individual",Ski Jumping
152429,Innsbruck,"Ski Jumping Men's Large Hill, Individual",Ski Jumping
152437,Sarajevo,Figure Skating Mixed Pairs,Figure Skating
152490,Vancouver,Cross Country Skiing Women's Sprint,Cross Country Skiing
152491,Vancouver,Cross Country Skiing Women's 30 kilometres,Cross Country Skiing
152492,Vancouver,Cross Country Skiing Women's 15 km Skiathlon,Cross Country Skiing
152499,Garmisch-Partenkirchen,Cross Country Skiing Men's 18 kilometres,Cross Country Skiing
152500,Garmisch-Partenkirchen,Cross Country Skiing Men's 4 x 10 kilometres Relay,Cross Country Skiing
152517,Vancouver,Alpine Skiing Women's Giant Slalom,Alpine Skiing
152518,Vancouver,Alpine Skiing Women's Slalom,Alpine Skiing
152519,Sochi,Alpine Skiing Women's Super G,Alpine Skiing
152520,Sochi,Alpine Skiing Women's Giant Slalom,Alpine Skiing
152529,Grenoble,Ice Hockey Men's Ice Hockey,Ice Hockey
152531,Lake Placid,Ice Hockey Men's Ice Hockey,Ice Hockey
152562,Sarajevo,"Ski Jumping Men's Normal Hill, Individual",Ski Jumping
152563,Sarajevo,"Ski Jumping Men's Large Hill, Individual",Ski Jumping
152564,Squaw Valley,Cross Country Skiing Men's 15 kilometres,Cross Country Skiing
152565,Squaw Valley,Cross Country Skiing Men's 30 kilometres,Cross Country Skiing
152566,Squaw Valley,Cross Country Skiing Men's 4 x 10 kilometres Relay,Cross Country Skiing
152594,Squaw Valley,"Ski Jumping Men's Normal Hill, Individual",Ski Jumping
152595,Squaw Valley,Nordic Combined Men's Individual,Nordic Combined
152627,Innsbruck,Figure Skating Men's Singles,Figure Skating
152628,Lake Placid,Figure Skating Men's Singles,Figure Skating
152629,Sapporo,Cross Country Skiing Men's 15 kilometres,Cross Country Skiing
152630,Sapporo,Cross Country Skiing Men's 50 kilometres,Cross Country Skiing
152671,Grenoble,Cross Country Skiing Men's 15 kilometres,Cross Country Skiing
152672,Grenoble,Cross Country Skiing Men's 4 x 10 kilometres Relay,Cross Country Skiing
152673,Sapporo,Cross Country Skiing Men's 15 kilometres,Cross Country Skiing
152674,Sapporo,Cross Country Skiing Men's 4 x 10 kilometres Relay,Cross Country Skiing
152707,Nagano,Ice Hockey Men's Ice Hockey,Ice Hockey
152708,Innsbruck,Ice Hockey Men's Ice Hockey,Ice Hockey
152714,Grenoble,Alpine Skiing Men's Slalom,Alpine Skiing
152715,Sapporo,Alpine Skiing Men's Slalom,Alpine Skiing
152716,Vancouver,Freestyle Skiing Men's Ski Cross,Freestyle Skiing
152717,Sochi,Freestyle Skiing Men's Ski Cross,Freestyle Skiing
152718,Sankt Moritz,Cross Country Skiing Men's 18 kilometres,Cross Country Skiing
152719,Sankt Moritz,Cross Country Skiing Men's 4 x 10 kilometres Relay,Cross Country Skiing
152720,Torino,Alpine Skiing Men's Slalom,Alpine Skiing
152721,Torino,Alpine Skiing Men's Combined,Alpine Skiing
152722,Sochi,Alpine Skiing Men's Slalom,Alpine Skiing
152737,Torino,"Short Track Speed Skating Men's 1,000 metres",Short Track Speed Skating
152738,Torino,"Short Track Speed Skating Men's 1,500 metres",Short Track Speed Skating
152739,Vancouver,"Short Track Speed Skating Men's 1,500 metres",Short Track Speed Skating
152740,Vancouver,"Short Track Speed Skating Men's 5,000 metres Relay",Short Track Speed Skating
152743,Sochi,"Ski Jumping Women's Normal Hill, Individual",Ski Jumping
152746,Sochi,Snowboarding Men's Boardercross,Snowboarding
152779,Sochi,Bobsleigh Men's Four,Bobsleigh
152798,Squaw Valley,Figure Skating Mixed Pairs,Figure Skating
152821,Innsbruck,Cross Country Skiing Men's 15 kilometres,Cross Country Skiing
152822,Innsbruck,Cross Country Skiing Men's 30 kilometres,Cross Country Skiing
152823,Innsbruck,Cross Country Skiing Men's 50 kilometres,Cross Country Skiing
152838,Garmisch-Partenkirchen,Nordic Combined Men's Individual,Nordic Combined
152839,Salt Lake City,Snowboarding Men's Halfpipe,Snowboarding
152840,Torino,Snowboarding Men's Halfpipe,Snowboarding
152842,Grenoble,"Ski Jumping Men's Normal Hill, Individual",Ski Jumping
152843,Grenoble,"Ski Jumping Men's Large Hill, Individual",Ski Jumping
152844,Chamonix,Military Ski Patrol Men's Military Ski Patrol,Military Ski Patrol
152845,Sankt Moritz,Cross Country Skiing Men's 18 kilometres,Cross Country Skiing
152862,Oslo,Alpine Skiing Men's Slalom,Alpine Skiing
152864,Sapporo,Alpine Skiing Men's Giant Slalom,Alpine Skiing
152865,Innsbruck,Ice Hockey Men's Ice Hockey,Ice Hockey
152872,Vancouver,"Speed Skating Women's 3,000 metres",Speed Skating
152873,Vancouver,"Speed Skating Women's 5,000 metres",Speed Skating
152874,Vancouver,Speed Skating Women's Team Pursuit (6 laps),Speed Skating
152888,Cortina d'Ampezzo,Alpine Skiing Men's Downhill,Alpine Skiing
152892,Sochi,Snowboarding Men's Slopestyle,Snowboarding
152893,Lake Placid,Cross Country Skiing Men's 18 kilometres,Cross Country Skiing
152894,Lake Placid,Cross Country Skiing Men's 50 kilometres,Cross Country Skiing
152913,Nagano,Nordic Combined Men's Team,Nordic Combined
152914,Nagano,Nordic Combined Men's Individual,Nordic Combined
152915,Salt Lake City,"Ski Jumping Men's Normal Hill, Individual",Ski Jumping
152916,Salt Lake City,"Ski Jumping Men's Large Hill, Individual",Ski Jumping
152917,Salt Lake City,"Ski Jumping Men's Large Hill, Team",Ski Jumping
152918,Torino,"Ski Jumping Men's Normal Hill, Individual",Ski Jumping
152919,Torino,"Ski Jumping Men's Large Hill, Individual",Ski Jumping
