player_id,Name,Sex,Age
2558,Janne Petteri Ahonen,M,28
2559,Janne Petteri Ahonen,M,28
2560,Janne Petteri Ahonen,M,28
2561,Janne Petteri Ahonen,M,32
2562,Janne Petteri Ahonen,M,32
2563,Janne Petteri Ahonen,M,36
2564,Janne Petteri Ahonen,M,36
2565,Janne Petteri Ahonen,M,36
2568,"Pirjo Hannele Ahonen (Nieminen-, Blomqvist-)",F,31
2588,Gunnar Johan hs,M,36
2589,Gunnar Johan hs,M,40
2595,Neha Ahuja,F,24
2596,Neha Ahuja,F,24
2622,Hans Aichele,M,24
2670,Kerstin Monika ij (-Lenndin),F,24
2671,Kerstin Monika ij (-Lenndin),F,24
2681,Richard Aimonetto,M,25
2682,Richard Aimonetto,M,29
2683,Giacomo Aimoni,M,24
2684,Giacomo Aimoni,M,24
2685,Giacomo Aimoni,M,28
2686,Giacomo Aimoni,M,28
2697,Sarah Catherine Ainsworth,F,24
2707,Enrico Airoldi,M,24
2708,Remo Airoldi,M,26
2729,Ahmed Ait Moulay,M,19
2730,Ahmed Ait Moulay,M,19
2731,Ahmed Ait Moulay,M,23
2732,Ahmed Ait Moulay,M,23
2742,Brahim Ait Sibrahim,M,17
2743,Brahim Ait Sibrahim,M,17
2744,Brahim Ait Sibrahim,M,25
2745,Brahim Ait Sibrahim,M,25
2746,Brahim Ait Sibrahim,M,25
2777,Hiroyasu Aizawa,M,18
2778,Hiroyasu Aizawa,M,18
2847,Akiko Akasaka,F,20
2848,Yuichi Akasaka,M,24
2849,Yuichi Akasaka,M,26
2856,Shikashi Akazawa,M,25
2889,Anatoly Vasilyevich Akentyev,M,28
2890,Anatoly Vasilyevich Akentyev,M,28
2891,Anatoly Vasilyevich Akentyev,M,28
2892,Anatoly Vasilyevich Akentyev,M,28
2898,Ulf Erik kerblom,M,26
2909,"Charles Arthur ""Charlie"" Akers",M,20
2910,"Charles Arthur ""Charlie"" Akers",M,24
2916,Jan-Erik kerstrm,M,28
2917,Rolf Evert kerstrm,M,27
2918,"Henry ""Hank"" Akervall",M,26
2920,Lars Arne kesson,M,20
2932,Albina Khamitovna Akhatova,F,21
2933,Albina Khamitovna Akhatova,F,21
2934,Albina Khamitovna Akhatova,F,21
2935,Albina Khamitovna Akhatova,F,25
2936,Albina Khamitovna Akhatova,F,25
2937,Albina Khamitovna Akhatova,F,29
2938,Albina Khamitovna Akhatova,F,29
2939,Albina Khamitovna Akhatova,F,29
2940,Albina Khamitovna Akhatova,F,29
2941,Albina Khamitovna Akhatova,F,29
2956,Yerdos Zhaksimbinovich Akhmadiyev,M,28
2957,Yerdos Zhaksimbinovich Akhmadiyev,M,28
2971,Sofia Akhmeteli,F,16
2972,Sofia Akhmeteli,F,20
2973,Sofia Akhmeteli,F,20
3000,Takeshi Akiba,M,23
3001,Takeshi Akiba,M,27
3002,Takeshi Akiba,M,31
3009,Masahiro Akimoto,M,23
3010,Masahiro Akimoto,M,23
3127,Yelizaveta Vyacheslavovna Aksyonova,F,18
3837,Konstantin Georgiyevich Aladashvili,M,24
3847,Arif Alaftargil,M,24
3848,Atakan Alaftargil,M,25
3909,Burhan Alanku,M,17
3925,ric Alard,M,30
3937,Mika Antero Alatalo,M,22
3938,Toimi Johannes Alatalo,M,30
3939,Toimi Johannes Alatalo,M,30
3940,Toimi Johannes Alatalo,M,30
3967,Marco Albarello,M,27
3968,Marco Albarello,M,27
3969,Marco Albarello,M,31
3970,Marco Albarello,M,31
3971,Marco Albarello,M,31
3972,Marco Albarello,M,31
3973,Marco Albarello,M,33
3974,Marco Albarello,M,33
3975,Marco Albarello,M,33
3976,Marco Albarello,M,37
3977,Marco Albarello,M,37
3978,Marco Albarello,M,37
4003,Tommy Albelin,M,33
4038,Karsten Klaus Albert,M,29
4039,Karsten Klaus Albert,M,33
4040,Louis Albert,M,25
4044,Martine Albert,F,32
4045,Martine Albert,F,32
4046,Martine Albert,F,32
4057,Bruno Alberti,M,25
4058,Bruno Alberti,M,25
4059,Bruno Alberti,M,25
4060,Bruno Alberti,M,29
4070,Reno Luigi Alberton,M,19
4074,Johnny Albertsen,M,16
4075,Johnny Albertsen,M,32
4076,Johnny Albertsen,M,32
4095,Alan Jacob Alborn,M,17
4096,Alan Jacob Alborn,M,17
4097,Alan Jacob Alborn,M,17
4098,Alan Jacob Alborn,M,21
4099,Alan Jacob Alborn,M,21
4100,Alan Jacob Alborn,M,21
4101,Alan Jacob Alborn,M,25
4102,Alan Jacob Alborn,M,25
4103,Alan Jacob Alborn,M,25
4108,Daniel Albrecht,M,22
4109,Daniel Albrecht,M,22
4110,Daniel Albrecht,M,22
4116,Grant Albrecht,M,21
4117,Grant Albrecht,M,25
4121,Kilian Albrecht,M,28
4122,Kilian Albrecht,M,28
4123,Kilian Albrecht,M,36
4130,Sylvia Albrecht (-Heckendorf),F,17
4131,Sylvia Albrecht (-Heckendorf),F,17
4132,Sylvia Albrecht (-Heckendorf),F,17
4133,Brigitte Albrecht-Loretan,F,21
4134,Brigitte Albrecht-Loretan,F,21
4135,Brigitte Albrecht-Loretan,F,21
4136,Brigitte Albrecht-Loretan,F,21
4137,Brigitte Albrecht-Loretan,F,23
4138,Brigitte Albrecht-Loretan,F,23
4139,Brigitte Albrecht-Loretan,F,23
4140,Brigitte Albrecht-Loretan,F,27
4141,Brigitte Albrecht-Loretan,F,27
4142,Brigitte Albrecht-Loretan,F,27
4143,Brigitte Albrecht-Loretan,F,27
4144,Brigitte Albrecht-Loretan,F,31
4145,Brigitte Albrecht-Loretan,F,31
4146,Brigitte Albrecht-Loretan,F,31
4152,Margit Albrechtsson (sberg-),F,34
4153,Janez Albreht,M,35
4156,"Tenley Emma Albright (-Gardiner, -Blakely)",F,16
4157,"Tenley Emma Albright (-Gardiner, -Blakely)",F,20
4197,Lindsay Alcock,F,24
4198,Lindsay Alcock,F,28
4203,"Chimene Mary ""Chemmy"" Alcott (-Crawford)",F,19
4204,"Chimene Mary ""Chemmy"" Alcott (-Crawford)",F,19
4205,"Chimene Mary ""Chemmy"" Alcott (-Crawford)",F,19
4206,"Chimene Mary ""Chemmy"" Alcott (-Crawford)",F,19
4207,"Chimene Mary ""Chemmy"" Alcott (-Crawford)",F,19
4208,"Chimene Mary ""Chemmy"" Alcott (-Crawford)",F,23
